Date,Power Station Name,Actual Day Peak (MW),Actual Eve Peak (MW),IMERG_PRECTOT,T2M,RH2M,ALLSKY_SFC_SW_DWN,PS,WSC,Derived_LHF_FAO
2021-02-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,19.49,56.89,5.4266,98.29,1.58,199.32822432000003
2021-02-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,19.61,56.56,5.5754,98.23,1.55,197.1211632
2021-02-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,19.17,58.2,4.7388,98.16,1.74,212.6101824
2021-02-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,19.49,52.36,5.4614,98.18,1.91,266.28015936
2021-02-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,21.97,45.55,5.7938,98.21,1.52,244.2531168
2021-02-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.2,49.5,5.8498,98.45,1.26,188.567505
2021-02-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.12,23.16,53.74,5.321,98.54,1.24,169.97052744
2021-02-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,4.45,23.04,58.41,3.0403,98.51,1.45,178.61886045
2021-02-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.11,54.0,4.8199,98.37,1.49,203.056604
2021-02-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,22.75,48.13,6.1908,98.25,1.35,207.2024955
2021-02-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,22.38,48.87,6.1817,98.1,1.36,205.50210504000003
2021-02-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,22.33,54.82,5.5457,98.02,1.22,162.86739407999994
2021-02-25,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,22.21,67.16,5.2882,97.9,1.34,129.97494016
2021-02-26,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,70,0.0,22.35,61.05,5.4859,97.81,1.55,178.40073750000005
2021-02-27,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.28,62.64,5.5642,97.83,1.27,140.64773496
2021-02-28,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.82,63.06,5.4398,98.0,1.32,144.80494775999998
2021-03-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.69,57.21,5.7763,98.22,1.4,178.42403039999996
2021-03-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.71,52.07,6.0979,98.15,1.31,187.02123038
2021-03-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.54,58.7,5.8603,98.15,1.3,159.829761
2021-03-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.22,64.99,6.1579,98.21,1.62,168.08980194000006
2021-03-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.38,58.53,5.5625,98.22,1.63,200.44271533
2021-03-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,23.2,59.7,5.2462,98.24,1.75,209.0008375
2021-03-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.53,64.62,5.7206,98.27,1.15,121.11706159999996
2021-03-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.89,59.67,5.6246,98.29,1.26,151.45141031999998
2021-03-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.8,56.79,5.1065,98.3,1.52,195.6911764
2021-03-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,25.0,54.45,4.475,98.31,1.32,179.265669
2021-03-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.44,52.55,5.3609,98.35,1.43,203.28230065
2021-03-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.87,54.64,5.6873,98.36,1.54,209.57717088
2021-03-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.82,52.02,5.6683,98.17,1.57,225.96320142
2021-03-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,25.17,53.14,5.6045,98.07,1.88,262.81037376
2021-03-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,24.69,52.46,6.6202,98.04,1.81,256.28357616
2021-03-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,25.0,46.83,6.6701,97.98,2.03,321.80850065
2021-03-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,25.06,39.81,6.7526,97.96,1.96,351.80549404
2021-03-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,25.89,37.26,6.384,97.94,1.7,318.95008319999994
2021-03-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.5,43.52,5.6842,97.84,1.48,250.4786336
2021-03-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.34,46.4,5.1929,97.74,1.58,253.6320912
2021-03-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.09,46.19,4.2043,97.86,1.56,252.03226464
2021-03-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",40,40,0.0,28.01,42.09,5.5104,98.04,1.99,347.0594944399999
2021-03-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",40,40,0.0,28.85,37.66,6.3914,98.05,1.94,365.237592
2021-03-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",40,70,0.0,28.94,46.53,5.651,97.94,1.5,242.2912845
2021-03-25,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,28.53,44.47,5.9093,97.92,1.68,281.4384787199999
2021-03-26,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.84,39.82,6.1915,97.93,1.87,338.72391234
2021-03-27,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.89,39.6,6.1483,97.83,1.86,338.2003776
2021-03-28,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.15,27.48,40.42,3.5035,97.77,1.54,275.83764516
2021-03-29,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.5,49.4,4.8967,97.64,1.49,225.918121
2021-03-30,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,26.98,57.58,4.5281,97.35,2.63,334.83883397999995
2021-03-31,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.82,56.17,5.0184,97.28,2.82,372.00072582
2021-04-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,103,0.0,27.27,67.74,5.5147,97.51,1.88,182.20112496
2021-04-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",100,106,0.0,27.28,56.35,6.0552,97.76,1.29,169.16762655
2021-04-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",110,105,0.0,28.37,38.78,6.4248,97.77,1.38,254.73495072
2021-04-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",108,71,1.94,29.01,38.36,5.8147,97.85,1.46,271.92707904
2021-04-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",72,60,0.0,26.7,58.95,4.9157,98.0,1.2,147.70610999999997
2021-04-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,70,0.0,26.98,54.75,6.0017,98.07,1.55,210.50367875000003
2021-04-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.09,59.77,6.1178,98.08,1.46,176.34836591999996
2021-04-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.36,65.25,5.7353,97.98,1.23,128.44548675
2021-04-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",105,100,0.05,28.07,58.02,6.0876,97.96,1.42,179.56206151999993
2021-04-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",72,72,0.0,28.74,54.59,6.0821,98.05,1.32,180.95648868
2021-04-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",72,70,0.0,28.55,55.56,6.4253,98.16,1.4,187.705672
2021-04-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",72,71,0.0,29.82,48.37,6.5304,98.11,1.4,218.9927754
2021-04-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",73,35,0.0,29.18,48.7,6.2818,98.04,1.23,190.76720669999995
2021-04-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.0,27.77,51.04,6.648,97.99,1.27,187.10964864
2021-04-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",70,70,0.54,27.09,54.85,6.6857,97.9,1.24,168.09236639999995
2021-04-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,26.03,62.84,3.3214,98.03,1.1,122.29281679999995
2021-04-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,4.26,26.11,65.47,4.6934,98.09,1.18,121.93468404
2021-04-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",55,70,0.0,26.36,65.32,6.8398,97.99,1.5,155.80510200000006
2021-04-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",61,61,0.0,27.03,61.75,6.4051,97.85,1.46,167.63552099999993
2021-04-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",61,61,0.0,27.39,61.23,6.9197,97.87,1.38,160.79671403999998
2021-04-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.32,28.71,56.06,7.0339,97.94,1.26,167.12297783999998
2021-04-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,28.91,58.13,6.1603,97.88,1.11,140.38449942
2021-04-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,55,0.0,29.02,54.06,6.4361,97.75,1.75,242.9295715
2021-04-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,29.12,39.39,7.5346,97.77,1.55,283.96906284999994
2021-04-25,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,28.54,48.7,6.9456,97.77,1.12,173.3390064
2021-04-26,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,29.47,54.0,6.7368,97.78,1.34,186.534968
2021-04-27,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,29.17,59.11,6.0926,97.9,1.23,152.05093704
2021-04-28,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,28.28,59.01,6.3086,98.03,0.95,117.37834914999998
